hop,window,score,peak_dbfs,gated,alarm,capture_us,features_us,infer_us
1,0,0.0078,-11.2,0,0,2,929,3783
2,1,0.2274,-5.8,0,0,1,828,3387
3,2,0.8313,-2.7,0,0,2,767,3294
4,3,0.9333,-2.7,0,1,2,829,4261
5,4,0.8784,-2.7,0,1,2,988,6338
6,5,0.8627,-0.9,0,1,1,789,3786
7,6,0.8941,-0.0,0,1,2,969,3290
8,7,0.8862,-0.0,0,1,1,943,3468
9,8,0.8078,-0.0,0,1,1,893,3311
10,9,0.7764,-0.1,0,1,2,838,7361
11,10,0.5725,-0.8,0,1,2,873,3500
12,11,0.6274,-3.2,0,1,2,3429,6486
13,12,0.5568,-0.7,0,0,1,907,3346
14,13,0.7215,-0.0,0,0,2,902,4106
15,14,0.8470,-0.0,0,1,2,898,5608
16,15,0.6902,-1.0,0,1,1,1336,3760
17,16,0.5333,-2.5,0,1,1,926,4574
18,17,0.5725,-2.5,0,1,1,1067,4422
19,18,0.6588,-2.1,0,1,1,1937,3720
20,19,0.6745,-2.1,0,1,2,945,3801
21,20,0.0314,-2.4,0,1,2,938,3529
22,21,0.0157,-10.1,0,1,2,906,3511
23,22,0.3921,-6.4,0,0,1,952,4085
24,23,0.7294,-3.1,0,0,2,883,3462
25,24,0.8313,-3.1,0,1,1,927,3461
26,25,0.8078,-2.2,0,1,1,886,3434
27,26,0.8000,-2.2,0,1,4,859,4328
28,27,0.8078,-1.0,0,1,2,883,4024
29,28,0.7843,-1.0,0,1,2,1132,3388
30,29,0.8000,-2.6,0,1,2,1100,3508
31,30,0.5019,-3.2,0,1,1,1008,3987
32,31,0.1569,-7.6,0,1,0,822,3242
33,32,0.1412,-7.6,0,0,1,870,3656
34,33,0.1490,-8.7,0,0,2,802,3396
35,34,0.1569,-8.7,0,0,1,816,3124
36,35,0.1569,-8.8,0,0,2,816,3211
37,36,0.1255,-5.8,0,0,1,795,3307
38,37,0.1176,-5.8,0,0,1,982,3225
39,38,0.1569,-8.6,0,0,1,848,3030
40,39,0.1569,-6.4,0,0,2,802,3311
41,40,0.5176,-6.4,0,0,1,852,3496
42,41,0.8627,-7.7,0,0,1,787,3238
43,42,0.8078,-8.4,0,1,1,778,3089
44,43,0.8706,-8.8,0,1,1,997,3185
45,44,0.8706,-9.3,0,1,2,812,3676
46,45,0.8313,-10.0,0,1,1,814,3145
47,46,0.9411,-10.6,0,1,1,810,3309
48,47,0.9411,-10.8,0,1,2,778,3101
49,48,0.9647,-10.2,0,1,1,918,3034
50,49,0.9411,-10.2,0,1,1,795,3109
51,50,0.9568,-10.2,0,1,0,1084,3261
52,51,0.9333,-8.7,0,1,1,770,3141
53,52,0.8784,-8.7,0,1,1,896,3455
54,53,0.9098,-8.1,0,1,1,786,2950
55,54,0.9490,-8.1,0,1,1,871,3045
56,55,0.9882,-8.7,0,1,0,787,2955
57,56,0.9960,-8.2,0,1,1,948,3096
58,57,0.9960,-7.2,0,1,1,784,3366
59,58,0.9960,-6.1,0,1,1,929,3192
60,59,0.9960,-6.1,0,1,1,768,2972
61,60,0.5725,-6.1,0,1,1,852,2949
62,61,0.0078,-15.5,0,1,1,778,3045
63,62,0.0078,-17.3,0,0,1,922,3260
64,63,0.0078,-16.9,0,0,2,769,3176
65,64,0.0078,-16.1,0,0,2,957,3398
66,65,0.0078,-16.1,0,0,1,827,3265
67,66,0.0078,-15.0,0,0,1,786,3051
68,67,0.0078,-15.0,0,0,1,813,3041
